userid,Renta_zona_usuario,sentiment
617383,20650.0,0.47
784655,15050.0,0.04
785761,15750.0,0.19
1724941,11550.0,0.11
2902311,15750.0,0.14
4247801,21350.0,0.16
5179651,26950.0,0.15
7664852,12950.0,0.01
9685402,20650.0,0.25
11123932,20650.0,0.47
11192212,15750.0,0.23
11625152,16450.0,0.01
12105232,15400.0,0.05
12286562,24850.0,-0.97
14080461,13650.0,0.48
14341583,24150.0,0.19
14567108,12250.0,0.32
14584086,15050.0,-0.13
15413795,16450.0,0.15
15558499,17150.0,0.19
15703541,19250.0,0.23
15753815,17850.0,0.3
15870177,19950.0,0.22
15955822,15750.0,-0.0
16379709,14350.0,0.17
16381230,21350.0,-0.1
16476480,12950.0,-0.16
16798736,15050.0,-0.03
17151860,12250.0,-0.09
17250153,17850.0,0.69
17655662,15050.0,0.18
18629172,16450.0,0.59
18776130,11550.0,0.19
18901057,15050.0,0.09
20937876,13650.0,0.01
21562932,16450.0,0.04
21868043,24150.0,0.76
22403858,15050.0,0.54
22529139,24850.0,0.0
23431939,8750.0,0.17
23925067,22050.0,0.19
24855284,12250.0,0.98
25803036,18550.0,0.07
26318172,20650.0,-0.02
26592794,11550.0,0.2
26820242,13650.0,-0.23
28795720,14350.0,0.33
30445634,11550.0,0.69
30481974,15050.0,0.09
30620408,15050.0,-0.41
31390222,16450.0,0.34
32451246,14350.0,0.08
33187129,20650.0,0.32
35044281,24150.0,0.22
36018448,17150.0,0.14
36023053,20650.0,0.63
36488556,12950.0,0.41
38564491,18550.0,-0.0
38718362,17150.0,0.57
40046062,14350.0,-0.03
40444023,10850.0,0.16
40550000,22050.0,-0.3
42286343,12950.0,-0.1
42862692,10850.0,0.13
42893710,11550.0,0.07
44210076,13650.0,-0.36
47160564,24150.0,-0.82
47991941,27650.0,-0.15
48687219,31150.0,0.38
48708627,16450.0,0.32
49151751,15050.0,-0.13
49442935,22050.0,0.17
49842850,13650.0,0.23
50021837,15050.0,0.64
50463771,19250.0,0.32
51654407,20650.0,-0.16
52456967,17150.0,0.0
54143318,12950.0,0.1
54263350,12250.0,-0.1
54438649,13650.0,0.06
54661414,19950.0,0.43
56845249,15750.0,-0.0
57988913,27650.0,0.6
58074625,22050.0,0.74
58180319,20650.0,0.11
59358331,15050.0,-0.0
61593714,15050.0,0.64
62107387,20650.0,0.25
62479194,17850.0,-0.04
62858378,19250.0,0.67
63309274,20650.0,0.25
63513417,19950.0,-0.05
63647962,15750.0,0.08
63793213,27650.0,0.39
65327422,31150.0,-0.01
65769838,16450.0,-0.04
66015169,26250.0,0.01
66199228,20650.0,0.29
66762993,20650.0,0.11
69140713,17850.0,0.01
69755223,11550.0,0.16
70748585,21000.0,0.2
71542755,11550.0,0.03
72702165,22750.0,0.66
73886414,15050.0,0.2
73934159,20650.0,0.44
74675303,13650.0,0.87
75750832,13650.0,0.32
75890881,12250.0,1.0
76135669,22750.0,0.37
76880516,11550.0,0.46
77720972,12950.0,0.6
78553382,19250.0,0.18
79059960,16450.0,0.19
79845869,24850.0,0.83
80961454,13650.0,0.14
81811013,12250.0,0.39
82946408,13650.0,0.39
83089595,21350.0,0.3
84143687,14350.0,0.09
84377438,17150.0,0.03
85450823,15750.0,0.09
85888750,20650.0,0.07
86048943,13650.0,-0.04
87485942,17150.0,-0.12
87498441,12950.0,-0.1
87664845,12250.0,0.11
87908023,23450.0,0.27
88472576,27650.0,0.58
88583375,11550.0,0.69
88684478,15750.0,0.8
88893534,31850.0,0.41
88946173,12950.0,0.31
89165765,17850.0,-0.05
89784347,20650.0,0.18
91132164,15750.0,0.41
91317326,36750.0,0.53
92028570,16450.0,0.07
92564987,17850.0,-0.19
92598627,18550.0,-0.02
92629354,24150.0,0.09
92694459,12250.0,0.02
92819458,14350.0,0.0
92860303,31150.0,-0.0
93166089,11900.0,-0.3
94391787,16450.0,0.15
94522169,24150.0,0.14
96368568,15050.0,-0.01
96663968,18550.0,-0.09
96853999,31150.0,0.46
97249381,12250.0,-0.14
98964254,20650.0,0.48
100181948,28700.0,0.0
100269583,16450.0,0.87
100316573,31150.0,0.3
101598527,11550.0,0.09
102667693,12950.0,0.05
104236143,24150.0,0.11
106120391,10850.0,0.89
106828991,15050.0,0.21
107013178,21350.0,0.68
107574625,15050.0,-0.41
107858981,17850.0,-0.1
108742651,20650.0,-0.01
108987652,20650.0,0.4
109538084,19950.0,0.65
110823014,22050.0,0.45
111036987,12250.0,0.84
112288331,17850.0,-0.09
112304919,17850.0,0.02
113070770,28700.0,0.03
115025891,14350.0,0.26
115083721,12950.0,0.0
115355950,30450.0,0.53
115975648,24150.0,0.54
116339258,22050.0,0.93
116703400,16450.0,0.32
116897015,20650.0,0.42
116924305,14350.0,0.11
117516117,15750.0,0.06
117884436,19250.0,0.05
118352921,31850.0,0.65
118409332,11550.0,0.17
118771391,15750.0,0.07
119550440,16450.0,-0.41
121733764,14350.0,-0.02
122310317,12950.0,0.14
122511719,21350.0,0.79
122723556,24150.0,0.18
122954058,20650.0,0.7
124208085,28350.0,0.45
124538414,16450.0,0.34
126005943,17150.0,0.29
126047696,16450.0,0.28
126075696,20650.0,0.04
126985467,16450.0,0.47
127359323,15050.0,0.26
127584026,11550.0,0.07
127742597,21350.0,0.43
128044041,12250.0,0.23
129896032,11550.0,0.4
130948183,31150.0,0.91
131444980,12250.0,0.21
132439956,11550.0,0.36
133246158,20650.0,0.47
133770101,12250.0,0.11
135088193,17850.0,0.21
136246531,15750.0,0.11
137508630,9450.0,0.0
138167121,17150.0,-0.94
138403160,11550.0,0.24
139660640,19950.0,-0.13
140014447,12250.0,0.43
141063910,13650.0,0.93
141069521,15050.0,0.25
142023050,11550.0,0.86
142451580,13650.0,0.92
142647380,8750.0,0.75
144976129,12250.0,0.0
144998533,15750.0,0.0
145400513,13650.0,0.27
146376337,15750.0,0.12
146421080,13650.0,0.14
146437617,12250.0,0.77
147268479,22750.0,0.12
147602310,15400.0,0.4
147724676,18550.0,-0.0
148076807,31850.0,0.1
148461629,13650.0,0.29
148761863,11550.0,0.84
149403185,11550.0,0.13
149634289,12250.0,0.26
150303636,24850.0,0.01
150618405,11550.0,0.14
150624922,15050.0,0.21
151515589,12950.0,0.45
151799526,13650.0,0.58
152776913,15050.0,0.53
153037939,15050.0,0.58
154279553,11550.0,0.17
154751688,14350.0,-0.05
155235690,19250.0,0.15
155249477,14350.0,0.24
